Doing Mixed 50 times using SCHED_RR
wall, user, system, CPU, i-switched, v-switched
0.57 2.17 0.01 382% 2 57
0.59 2.17 0.01 369% 7 58
0.57 2.18 0.00 382% 2 56
0.57 2.18 0.00 382% 2 58
0.57 2.17 0.01 382% 4 57
Doing Mixed 50 times using SCHED_FIFO
wall, user, system, CPU, i-switched, v-switched
0.57 2.18 0.00 382% 3 58
0.59 2.18 0.00 367% 7 58
0.57 2.17 0.01 382% 3 60
0.57 2.17 0.01 383% 2 57
0.57 2.18 0.00 383% 3 57
Doing CPUBound 200 times using SCHED_OTHER
wall, user, system, CPU, i-switched, v-switched
2.26 8.91 0.03 394% 3199 403
2.27 8.90 0.03 393% 3513 407
2.26 8.92 0.00 394% 3257 402
2.26 8.90 0.03 394% 3265 403
2.26 8.92 0.01 394% 3344 399
Doing CPUBound 200 times using SCHED_RR
wall, user, system, CPU, i-switched, v-switched
2.29 8.92 0.02 390% 5 207
2.32 8.91 0.01 383% 11 208
2.38 8.92 0.02 375% 14 207
2.33 8.93 0.02 383% 10 208
2.32 8.91 0.01 383% 11 207
Doing CPUBound 200 times using SCHED_FIFO
wall, user, system, CPU, i-switched, v-switched
2.37 8.92 0.02 376% 16 207
2.33 8.92 0.01 382% 11 207
2.32 8.91 0.01 384% 11 207
2.37 8.91 0.02 375% 13 207
2.32 8.90 0.03 383% 11 207
Doing IOBound 200 times using SCHED_OTHER
wall, user, system, CPU, i-switched, v-switched
3.65 0.00 0.66 18% 891 64777
3.93 0.02 0.62 16% 1615 64562
3.61 0.01 0.57 16% 839 64391
3.91 0.01 0.59 15% 1786 63880
3.65 0.01 0.62 17% 788 65053
Doing IOBound 200 times using SCHED_RR
wall, user, system, CPU, i-switched, v-switched
3.92 0.02 0.64 16% 1456 65063
3.64 0.02 0.62 17% 779 64484
3.58 0.01 0.58 16% 993 64585
3.94 0.01 0.64 16% 1276 66643
3.89 0.01 0.59 15% 1761 64731
Doing IOBound 200 times using SCHED_FIFO
wall, user, system, CPU, i-switched, v-switched
3.56 0.02 0.64 18% 706 63797
3.83 0.02 0.60 16% 1428 64822
3.65 0.00 0.60 16% 642 65493
3.72 0.01 0.60 16% 874 64500
3.84 0.01 0.65 17% 1144 66412
Doing Mixed 200 times using SCHED_OTHER
wall, user, system, CPU, i-switched, v-switched
2.25 8.73 0.03 388% 4019 467
2.25 8.74 0.02 388% 3258 445
2.32 8.75 0.02 378% 3886 595
2.25 8.74 0.02 388% 3571 433
2.25 8.71 0.05 389% 3459 422
Doing Mixed 200 times using SCHED_RR
wall, user, system, CPU, i-switched, v-switched
2.24 8.73 0.01 390% 6 208
2.28 8.73 0.02 383% 11 209
2.33 8.72 0.02 375% 13 209
2.29 8.74 0.01 382% 11 208
2.27 8.73 0.02 384% 11 209
Doing Mixed 200 times using SCHED_FIFO
wall, user, system, CPU, i-switched, v-switched
2.33 8.73 0.02 375% 14 208
2.28 8.71 0.03 383% 10 209
2.28 8.72 0.02 383% 11 207
2.28 8.72 0.03 383% 10 207
2.34 8.76 0.03 374% 14 209
